run_dir,run_label,model,prompt_format,max_new_tokens,kl_risk_threshold,uckv_risk_tolerance,split,policy,answer_position,prompts,answer_contains,avg_kept_tokens,fallback_steps
outputs/experiments/20260710_190319_526790_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.2,evaluation,uckv_budget,early,12,1.0,1141.1666666666667,0
outputs/experiments/20260710_190319_526790_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.2,evaluation,uckv_budget,late,12,1.0,1140.75,0
outputs/experiments/20260710_190319_526790_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.2,evaluation,uckv_budget,middle,12,0.9166666666666666,1143.9166666666667,0
outputs/experiments/20260710_190724_658522_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.25,calibration,uckv_budget,early,12,1.0,1138.0347222222224,0
outputs/experiments/20260710_190724_658522_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.25,calibration,uckv_budget,late,12,0.8333333333333334,1137.9895833333333,0
outputs/experiments/20260710_190724_658522_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.25,calibration,uckv_budget,middle,12,0.9166666666666666,1137.517361111111,0
outputs/experiments/20260710_190724_658522_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.25,evaluation,uckv_budget,early,12,1.0,1138.4756944444446,0
outputs/experiments/20260710_190724_658522_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.25,evaluation,uckv_budget,late,12,1.0,1137.045138888889,0
outputs/experiments/20260710_190724_658522_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.25,evaluation,uckv_budget,middle,12,0.9166666666666666,1139.9479166666667,0
outputs/experiments/20260710_191126_746563_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol03_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol03,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.3,calibration,uckv_budget,early,12,1.0,1137.7916666666667,0
