run_dir,run_label,model,prompt_format,max_new_tokens,kl_risk_threshold,uckv_risk_tolerance,split,policy,context_words,prompts,answer_contains,avg_kept_tokens,fallback_steps
outputs/experiments/20260710_185915_376976_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.15,evaluation,uckv_budget,1024,18,0.9444444444444444,1288.0,0
outputs/experiments/20260710_190319_526790_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.2,calibration,uckv_budget,768,18,0.8888888888888888,993.2222222222222,0
outputs/experiments/20260710_190319_526790_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.2,calibration,uckv_budget,1024,18,0.9444444444444444,1289.111111111111,0
outputs/experiments/20260710_190319_526790_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.2,evaluation,uckv_budget,768,18,1.0,995.8888888888889,0
outputs/experiments/20260710_190319_526790_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.2,evaluation,uckv_budget,1024,18,0.9444444444444444,1288.0,0
outputs/experiments/20260710_190724_658522_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.25,calibration,uckv_budget,768,18,0.8888888888888888,993.2222222222222,0
outputs/experiments/20260710_190724_658522_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.25,calibration,uckv_budget,1024,18,0.9444444444444444,1282.4722222222222,0
outputs/experiments/20260710_190724_658522_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.25,evaluation,uckv_budget,768,18,1.0,995.8888888888889,0
outputs/experiments/20260710_190724_658522_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.25,evaluation,uckv_budget,1024,18,0.9444444444444444,1281.0902777777778,0
outputs/experiments/20260710_191126_746563_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol03_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol03,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.3,calibration,uckv_budget,768,18,0.8888888888888888,993.2222222222222,0
outputs/experiments/20260710_191126_746563_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol03_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol03,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.3,calibration,uckv_budget,1024,18,0.9444444444444444,1282.2129629629628,0
