run_dir,run_label,model,prompt_format,max_new_tokens,kl_risk_threshold,uckv_risk_tolerance,split,policy,prompts,steps,avg_kl,p95_kl,max_kl,top1_mismatch_rate,avg_retained_ratio,avg_kept_tokens,avg_full_tokens,avg_replay_s_per_step,replay_metric_source,uckv_fallback_steps
outputs/experiments/20260710_185915_376976_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.15,calibration,uckv_budget,36,864,0.0,0.0,0.0,0.0,1.0,1141.1666666666667,1141.1666666666667,0.1532853242126583,fixed_candidate_simulation,0.0
outputs/experiments/20260710_185915_376976_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol015,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.15,evaluation,uckv_budget,36,864,0.0,0.0,0.0,0.0,1.0,1141.9444444444443,1141.9444444444443,0.1579623735420049,fixed_candidate_simulation,0.0
outputs/experiments/20260710_190319_526790_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.2,calibration,uckv_budget,36,864,0.0,0.0,0.0,0.0,1.0,1141.1666666666667,1141.1666666666667,0.1532853242126583,fixed_candidate_simulation,0.0
outputs/experiments/20260710_190319_526790_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol02,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.2,evaluation,uckv_budget,36,864,0.0,0.0,0.0,0.0,1.0,1141.9444444444443,1141.9444444444443,0.1579504731453517,fixed_candidate_simulation,0.0
outputs/experiments/20260710_190724_658522_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.25,calibration,uckv_budget,36,864,7.129095819775731e-05,2.3077921014191667e-05,0.0065682111307978,0.0,0.9980251140766264,1138.599537037037,1141.1666666666667,0.1563559787442874,fixed_candidate_simulation,0.0
outputs/experiments/20260710_190724_658522_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol025,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.25,evaluation,uckv_budget,36,864,7.755649076587649e-05,2.776655228444713e-05,0.0084060654044151,0.0,0.9982359928605754,1139.650462962963,1141.9444444444443,0.1586761596279863,fixed_candidate_simulation,0.0
outputs/experiments/20260710_191126_746563_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol03_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol03,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.3,calibration,uckv_budget,36,864,8.111762107546291e-05,3.968098189943687e-05,0.0065682111307978,0.0,0.9978081417647856,1138.318287037037,1141.1666666666667,0.156729965424407,fixed_candidate_simulation,0.0
outputs/experiments/20260710_191126_746563_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol03_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol03,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.3,evaluation,uckv_budget,36,864,7.911736334427185e-05,7.790251147525817e-05,0.0084060654044151,0.0,0.9981029058418556,1139.4780092592594,1141.9444444444443,0.1588255146406682,fixed_candidate_simulation,0.0
outputs/experiments/20260710_191521_439430_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol035_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol035,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.35,calibration,uckv_budget,36,864,9.358580003755284e-05,5.364781773096158e-05,0.0065682111307978,0.0,0.9974226869253108,1137.8171296296296,1141.1666666666667,0.1573045072134679,fixed_candidate_simulation,0.0
outputs/experiments/20260710_191521_439430_longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol035_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_reuse_thr01_w1536_tol035,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.35,evaluation,uckv_budget,36,864,9.861360041070146e-05,9.776250808499665e-05,0.0141926100477576,0.0,0.9978076246500222,1139.09375,1141.9444444444443,0.1589725549428481,fixed_candidate_simulation,0.0
