run_dir,run_label,seed_id,model,max_prompts,max_new_tokens,uckv2_lambda,uckv2_beta,uckv2_evict_every,split,policy,task_type,prompts,answer_contains,avg_kept_tokens,fallback_steps,abstain_steps,avg_prefill_s,avg_decode_s,decode_tokens_per_s,peak_cache_bytes,avg_cache_bytes,cuda_peak_delta_bytes,avg_selector_elapsed_s,avg_selector_decode_fraction,avg_eviction_count,avg_entropy_gate,family,budget
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,uckv2_fixed_128,kv_retrieval,48,0.3958333333333333,133.875,0,0,0.1867361275623504,3.30443189414594,7.382857175825936,18201600,6168960.0,0,0.1559002421424035,0.0440900013000218,2.0,0.2392926607228803,UCKV2,128.0
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,uckv2_fixed_192,kv_retrieval,48,0.5,192.30208333333331,0,0,0.1838907934179587,3.3487124080423505,7.289458085187449,18201600,8861280.0,0,0.1829477487835902,0.0510201950599559,2.0,0.2197448054950661,UCKV2,192.0
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,uckv2_fixed_256,kv_retrieval,48,0.7708333333333334,237.01822916666663,0,0,0.1857726205835206,3.430560118145877,7.140420335835665,18201600,10921800.0,0,0.2424952823591108,0.0660089939502455,2.0,0.2068329269201827,UCKV2,256.0
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,uckv2_fixed_96,kv_retrieval,48,0.3541666666666667,101.875,0,0,0.3548285528947114,3.367570153584893,7.245097473788156,18201600,4694400.0,0,0.1712011576419172,0.0488827211538288,2.0,0.253230794052217,UCKV2,96.0
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,full,kv_retrieval,48,0.9583333333333334,286.1041666666667,0,0,0.202378033062511,3.057244377583326,7.90689806602365,19307520,13229760.0,0,,,,,Full KV,
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,h2o_hh_128,kv_retrieval,48,0.4791666666666667,128.0,0,0,0.185581743896364,3.3977976318537912,7.120512939195312,18247680,5898240.0,0,,,24.0,,H2O,128.0
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,h2o_hh_192,kv_retrieval,48,0.625,187.875,0,0,0.1969171407090471,3.3322029635628496,7.283840629078121,18247680,8657280.0,0,,,24.0,,H2O,192.0
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,h2o_hh_256,kv_retrieval,48,0.6875,233.94444444444449,0,0,0.1774442507918744,3.318865505208729,7.316988162499854,18247680,10780160.0,0,,,24.0,,H2O,256.0
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,h2o_hh_96,kv_retrieval,48,0.4791666666666667,96.0,0,0,0.1901429488349701,3.460805699563025,7.007780439145929,18247680,4423680.0,0,,,24.0,,H2O,96.0
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,uckv2_fixed_128,kv_retrieval,48,0.4791666666666667,133.875,0,0,0.1892920565211776,3.298082138000306,7.361283132786583,18247680,6168960.0,0,0.1351106523782922,0.0408898057060239,2.0,0.2957038710118879,UCKV2,128.0
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,uckv2_fixed_192,kv_retrieval,48,0.625,192.28125,0,0,0.1903580069571641,3.282944333313632,7.373455642060878,18247680,8860320.0,0,0.15793267418303,0.0476383998244614,2.0,0.2770735682913968,UCKV2,192.0
outputs/experiments/20260711_111803_229110_uckv2_l1_seed37_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed37_b96_256,37,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,uckv2_fixed_256,kv_retrieval,48,0.875,237.0390625,0,0,0.1956147534377426,3.2836682265418253,7.388606168370927,18247680,10922760.0,0,0.164018925424898,0.0486203528495221,2.0,0.2575468675016514,UCKV2,256.0
