run_dir,run_label,model,prompt_format,max_new_tokens,kl_risk_threshold,uckv_risk_tolerance,split,policy,prompts,steps,avg_kl,p95_kl,max_kl,top1_mismatch_rate,avg_retained_ratio,avg_kept_tokens,avg_full_tokens,avg_replay_s_per_step,replay_metric_source
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_256,48,1152,0.1216626697261823,0.0687251169234516,6.850052833557129,0.0260416666666666,0.8649789431503568,235.57291666666663,285.7708333333333,0.1390202854846494,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_32,48,1152,0.7260142745836649,4.128527116775514,7.719198703765869,0.1579861111111111,0.1385509798944399,36.0,285.7708333333333,0.1418278325048858,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_320,48,1152,0.0665278482387756,0.0201577052474022,6.611702919006348,0.0147569444444444,0.9515411030699716,266.5286458333333,285.7708333333333,0.138683535335834,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_384,48,1152,0.0006036368409251,0.0001951022175489,0.0924810618162155,0.0,0.9932141908553492,283.0295138888889,285.7708333333333,0.1380439556242992,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_64,48,1152,0.5056660877979706,3.495183432102206,9.025900840759276,0.1189236111111111,0.2617074064672754,68.0,285.7708333333333,0.1419391600851567,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,uckv_budget,48,1152,0.0024689932394313,0.0132387335877865,0.1250593662261963,0.0017361111111111,0.9022408420225708,264.01128472222223,285.7708333333333,0.1540679648802425,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,uckv_entropy_adaptive,48,1152,1.8654143088617043,7.197398734092713,13.534844398498535,0.3602430555555556,0.0634460380622762,16.3046875,285.7708333333333,0.1408721754209081,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,window_16,48,1152,6.9178201043491,20.599691104888915,28.398963928222656,0.8168402777777778,0.0615782132864177,16.0,285.7708333333333,0.1464403229512451,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,full,48,1152,0.0,0.0,0.0,0.0,1.0,286.1041666666667,286.1041666666667,0.141117770688753,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_128,48,1152,0.3423686857528928,3.004307484626771,10.822336196899414,0.0972222222222222,0.5075081676912757,132.0,286.1041666666667,0.1437979116797376,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_192,48,1152,0.1409102028225231,0.1887616947293289,8.011609077453613,0.0407986111111111,0.7222633205951541,190.625,286.1041666666667,0.1484440372168541,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_256,48,1152,0.1344044910476315,0.0853669386357069,8.329038619995117,0.03125,0.8640225252014623,235.59722222222223,286.1041666666667,0.1435346262308788,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_32,48,1152,0.7407521961831354,4.418382787704469,10.432223320007324,0.171875,0.138411318461257,36.0,286.1041666666667,0.1404562409980927,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_320,48,1152,0.0664084740971742,0.0171229943633079,8.016474723815918,0.0130208333333333,0.9512313019453632,266.82899305555554,286.1041666666667,0.1412957217162329,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_384,48,1152,0.0006128308618319,0.0001216542812471,0.1321985423564911,0.0,0.9937181067193274,283.56944444444446,286.1041666666667,0.1361265250277736,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_64,48,1152,0.5294156074684866,3.667529833316803,10.775345802307127,0.1276041666666666,0.2614436015379299,68.0,286.1041666666667,0.1419718543853984,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,uckv_budget,48,1152,0.0036286517730849,0.015907597541809,0.451121985912323,0.0095486111111111,0.8982404454859881,263.1701388888889,286.1041666666667,0.1522265251786747,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,uckv_entropy_adaptive,48,1152,1.9460493044709948,7.925713157653809,16.224260330200195,0.3619791666666667,0.0654016131939751,16.9296875,286.1041666666667,0.1380529276936815,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,window_16,48,1152,6.48648262691836,18.69290180206299,28.749935150146484,0.7942708333333334,0.0615161415383364,16.0,286.1041666666667,0.1438468976806083,actual_replay
outputs/experiments/20260710_094755_358986_stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,full,48,1152,0.0,0.0,0.0,0.0,1.0,285.2708333333333,285.2708333333333,0.1097007578836802,actual_replay
outputs/experiments/20260710_094755_358986_stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_128,48,1152,0.3279180932577296,2.890583026409149,8.131336212158203,0.0720486111111111,0.5092785833512186,132.0,285.2708333333333,0.1138108846918418,actual_replay
outputs/experiments/20260710_094755_358986_stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_192,48,1152,0.1424096917872676,0.1803217552602316,7.227391719818115,0.0321180555555555,0.7230051734033656,190.33333333333331,285.2708333333333,0.1128960446736147,actual_replay
outputs/experiments/20260710_094755_358986_stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_256,48,1152,0.1211487301357869,0.0696032755076885,7.707000732421875,0.0251736111111111,0.8656593688437187,235.46354166666663,285.2708333333333,0.1129363049053837,actual_replay
outputs/experiments/20260710_094755_358986_stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_32,48,1152,0.7347504089389556,4.1319023132324215,8.00280475616455,0.1571180555555555,0.1388941590957868,36.0,285.2708333333333,0.114218326823787,actual_replay
outputs/experiments/20260710_094755_358986_stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_320,48,1152,0.0697822969584512,0.0182222933508455,8.43465518951416,0.0147569444444444,0.952221445422439,266.3489583333333,285.2708333333333,0.1113284295433977,actual_replay
