run_dir,run_label,ablation,model,max_prompts,max_new_tokens,uckv2_lambda,uckv2_beta,uckv2_evict_every,uckv2_min_recent,uckv2_recent_fraction,split,policy,task_type,prompts,answer_contains,avg_kept_tokens,fallback_steps,abstain_steps,avg_prefill_s,avg_decode_s,decode_tokens_per_s,peak_cache_bytes,avg_cache_bytes,cuda_peak_delta_bytes,avg_selector_elapsed_s,avg_selector_decode_fraction,avg_eviction_count,avg_entropy_gate,budget
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_001226_217803_uckv2_ablate_overnight_beta0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_beta0_all_seed911_p24_t16,overnight_beta0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.0,16,64,0.25,evaluation,full,kv_retrieval,12,0.75,1208.75,0,0,1.2074094827500328,2.8408521735012378,6.107580181868735,114324480,55745280.0,0,,,,,
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_001226_217803_uckv2_ablate_overnight_beta0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_beta0_all_seed911_p24_t16,overnight_beta0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.0,16,64,0.25,evaluation,h2o_hh_128,kv_retrieval,12,0.3333333333333333,128.0,0,0,0.4992569548315562,3.165837142250288,5.472662552529312,113633280,5898240.0,0,,,16.0,,128.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_001226_217803_uckv2_ablate_overnight_beta0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_beta0_all_seed911_p24_t16,overnight_beta0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.0,16,64,0.25,evaluation,h2o_hh_192,kv_retrieval,12,0.3333333333333333,192.0,0,0,0.6197969965796801,2.945105166746847,5.943447018085217,113633280,8847360.0,0,,,16.0,,192.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_001226_217803_uckv2_ablate_overnight_beta0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_beta0_all_seed911_p24_t16,overnight_beta0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.0,16,64,0.25,evaluation,h2o_hh_256,kv_retrieval,12,0.3333333333333333,256.0,0,0,0.5499506251629404,2.8080295974165588,5.978909179524198,113633280,11796480.0,0,,,16.0,,256.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_001226_217803_uckv2_ablate_overnight_beta0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_beta0_all_seed911_p24_t16,overnight_beta0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.0,16,64,0.25,evaluation,uckv2_fixed_128,kv_retrieval,12,0.3333333333333333,134.5625,0,0,9.117950649330549,10.533435128255707,5.196048672676077,113633280,6200640.0,0,0.3910007563972613,0.0444561563370259,2.0,0.3803881429518171,128.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_001226_217803_uckv2_ablate_overnight_beta0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_beta0_all_seed911_p24_t16,overnight_beta0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.0,16,64,0.25,evaluation,uckv2_fixed_192,kv_retrieval,12,0.3333333333333333,198.5625,0,0,9.700925548667632,10.625049531331266,5.24167595079169,113633280,9149760.0,0,0.2672051285141303,0.0379507057347709,2.0,0.3744507347320196,192.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_001226_217803_uckv2_ablate_overnight_beta0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_beta0_all_seed911_p24_t16,overnight_beta0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.0,16,64,0.25,evaluation,uckv2_fixed_256,kv_retrieval,12,0.3333333333333333,262.5625,0,0,10.22609206233028,11.553169163339286,5.133324096547708,113633280,12098880.0,0,0.6962766253952092,0.0737470645837818,2.0,0.3599868235086882,256.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_005145_644856_uckv2_ablate_overnight_lambda0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_lambda0_all_seed911_p24_t16,overnight_lambda0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,0.0,0.5,16,64,0.25,calibration,full,kv_retrieval,12,0.9166666666666666,1210.4166666666667,0,0,0.6455997467492125,2.653857371750443,6.279883695384087,115061760,55822080.0,0,,,,,
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_005145_644856_uckv2_ablate_overnight_lambda0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_lambda0_all_seed911_p24_t16,overnight_lambda0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,0.0,0.5,16,64,0.25,calibration,h2o_hh_128,kv_retrieval,12,0.3333333333333333,128.0,0,0,0.4104822985003314,2.8450985869179326,5.796454884710751,114370560,5898240.0,0,,,16.0,,128.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260712_005145_644856_uckv2_ablate_overnight_lambda0_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_lambda0_all_seed911_p24_t16,overnight_lambda0_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,0.0,0.5,16,64,0.25,calibration,h2o_hh_192,kv_retrieval,12,0.3333333333333333,192.0,0,0,0.4554384479148818,2.601517621667881,6.253472398820702,114370560,8847360.0,0,,,16.0,,192.0
